DirectorNumber,Fullname,Role,Appointedon,ResignationDate,Companynumber,Companyname,StartDate_y,EndDate_y,DirectorNumber_y,Role_y,isDirector_x,isDirector_y,isActive_x,isActive_y,overlap,weight,Day_x,Day_y
3ad4ba4e,ASQUITH COLIN,RESIGNED DIRECTOR,1991-05-18,2005-07-11,64929,LEEDS HOSPITAL FUND,1991-05-18,1998-10-01,c030cd36,RESIGNED DIRECTOR,1,1,0.5,0.5,2694,1347.0,5168,2693
3ad4ba4e,ASQUITH COLIN,RESIGNED DIRECTOR,1991-05-18,2005-07-11,64929,LEEDS HOSPITAL FUND,1991-05-18,2005-07-11,6817ed30,RESIGNED DIRECTOR,1,1,0.5,0.5,5169,2584.5,5168,5168
3ad4ba4e,ASQUITH COLIN,RESIGNED DIRECTOR,1991-05-18,2005-07-11,64929,LEEDS HOSPITAL FUND,1991-05-18,1995-05-13,9181fd89,RESIGNED DIRECTOR,1,1,0.5,0.5,1457,728.5,5168,1456
3ad4ba4e,ASQUITH COLIN,RESIGNED DIRECTOR,1991-05-18,2005-07-11,64929,LEEDS HOSPITAL FUND,1991-05-18,2002-03-22,03071ba9,RESIGNED DIRECTOR,1,1,0.5,0.5,3962,1981.0,5168,3961
3ad4ba4e,ASQUITH COLIN,RESIGNED DIRECTOR,1991-05-18,2005-07-11,64929,LEEDS HOSPITAL FUND,1993-05-15,2002-03-22,7765436e,RESIGNED DIRECTOR,1,1,0.5,0.5,3234,1617.0,5168,3233
3ad4ba4e,ASQUITH COLIN,RESIGNED DIRECTOR,1991-05-18,2005-07-11,64929,LEEDS HOSPITAL FUND,1991-05-18,2012-06-12,59423e72,RESIGNED DIRECTOR,1,1,0.5,0.5,5169,2584.5,5168,7696
3ad4ba4e,ASQUITH COLIN,RESIGNED DIRECTOR,1991-05-18,2005-07-11,64929,LEEDS HOSPITAL FUND,1961-01-04,2002-03-22,d750a239,RESIGNED DIRECTOR,1,1,0.5,0.5,3962,1981.0,5168,15052
3ad4ba4e,ASQUITH COLIN,RESIGNED DIRECTOR,1991-05-18,2005-07-11,64929,LEEDS HOSPITAL FUND,1991-05-18,1993-05-15,908e95ab,RESIGNED DIRECTOR,1,1,0.5,0.5,729,364.5,5168,728
3ad4ba4e,ASQUITH COLIN,RESIGNED DIRECTOR,1991-05-18,2005-07-11,64929,LEEDS HOSPITAL FUND,1991-05-18,2000-06-17,ea12cc8f,RESIGNED DIRECTOR,1,1,0.5,0.5,3319,1659.5,5168,3318
3ad4ba4e,ASQUITH COLIN,RESIGNED DIRECTOR,1991-05-18,2005-07-11,64929,LEEDS HOSPITAL FUND,1991-05-18,1996-05-11,880612dc,RESIGNED DIRECTOR,1,1,0.5,0.5,1821,910.5,5168,1820
3ad4ba4e,ASQUITH COLIN,RESIGNED DIRECTOR,1991-05-18,2005-07-11,64929,LEEDS HOSPITAL FUND,1991-05-18,1996-05-11,2b0ca5d3,RESIGNED DIRECTOR,1,1,0.5,0.5,1821,910.5,5168,1820
3ad4ba4e,ASQUITH COLIN,RESIGNED DIRECTOR,1991-05-18,2005-07-11,64929,LEEDS HOSPITAL FUND,1991-05-18,2002-03-22,957c89d1,RESIGNED DIRECTOR,1,1,0.5,0.5,3962,1981.0,5168,3961
