Rank,wBW,wEG,wH,wD,wDays
1,0.052632089,0.011163359,0.049505432,0.030032,0.052632089
2,0.04736888,0.011051725,0.047525215,0.02913076,0.04736888
3,0.045000436,0.010941208,0.045148954,0.028256838,0.045000436
4,0.042750415,0.010831796,0.042891506,0.027409132,0.042750415
5,0.040612894,0.010723478,0.040746931,0.026586858,0.040612894
6,0.038582249,0.010616243,0.038709584,0.025789253,0.038582249
7,0.036653137,0.010510081,0.036774105,0.025015575,0.036653137
8,0.03482048,0.01040498,0.0349354,0.024265108,0.03482048
9,0.033079456,0.01030093,0.03318863,0.023537155,0.033079456
10,0.031425483,0.010197921,0.031529199,0.02283104,0.031425483
11,0.029854209,0.010095942,0.029952739,0.022146109,0.029854209
12,0.028361498,0.009994982,0.028455102,0.021481726,0.028361498
13,0.026943424,0.009895032,0.027032347,0.020837274,0.026943424
14,0.025596252,0.009796082,0.025680729,0.020212156,0.025596252
15,0.02431644,0.009698121,0.024396693,0.019605791,0.02431644
16,0.023100618,0.00960114,0.023176858,0.019017617,0.023100618
17,0.021945587,0.009505129,0.022018015,0.018447089,0.021945587
18,0.020848308,0.009410077,0.020917114,0.017893676,0.020848308
19,0.019805892,0.009315977,0.019871259,0.017356866,0.019805892
20,0.018815598,0.009222817,0.018877696,0.01683616,0.018815598
21,0.017874818,0.009130589,0.017933811,0.016331075,0.017874818
22,0.016981077,0.009039283,0.01703712,0.015841143,0.016981077
23,0.016132023,0.00894889,0.016185264,0.015365908,0.016132023
24,0.015325422,0.008859401,0.015376001,0.014904931,0.015325422
25,0.014559151,0.008770807,0.014607201,0.014457783,0.014559151
26,0.013831193,0.008683099,0.013876841,0.01402405,0.013831193
27,0.013139634,0.008596268,0.013182999,0.013603328,0.013139634
28,0.012482652,0.008510305,0.012523849,0.013195228,0.012482652
29,0.011858519,0.008425202,0.011897657,0.012799372,0.011858519
30,0.011265593,0.00834095,0.011302774,0.01241539,0.011265593
31,0.010702314,0.008257541,0.010737635,0.012042929,0.010702314
32,0.010167198,0.008174965,0.010200753,0.011681641,0.010167198
33,0.009658838,0.008093216,0.009690716,0.011331192,0.009658838
34,0.009175896,0.008012283,0.00920618,0.010991256,0.009175896
35,0.008717101,0.007932161,0.008745871,0.010661518,0.008717101
36,0.008281246,0.007852839,0.008308577,0.010341673,0.008281246
37,0.007867184,0.007774311,0.007893149,0.010031422,0.007867184
38,0.007473825,0.007696567,0.007498491,0.00973048,0.007473825
39,0.007100134,0.007619602,0.007123567,0.009438565,0.007100134
40,0.006745127,0.007543406,0.006767388,0.009155408,0.006745127
41,0.00640787,0.007467972,0.006429019,0.008880746,0.00640787
42,0.006087477,0.007393292,0.006107568,0.008614324,0.006087477
43,0.005783103,0.007319359,0.005802189,0.008355894,0.005783103
44,0.005493948,0.007246166,0.00551208,0.008105217,0.005493948
45,0.005219251,0.007173704,0.005236476,0.007862061,0.005219251
46,0.004958288,0.007101967,0.004974652,0.007626199,0.004958288
47,0.004710374,0.007030947,0.00472592,0.007397413,0.004710374
48,0.004474855,0.006960638,0.004489624,0.007175491,0.004474855
49,0.004251112,0.006891031,0.004265142,0.006960226,0.004251112
50,0.004038557,0.006822121,0.004051885,0.006751419,0.004038557
51,0.003836629,0.0067539,0.003849291,0.006548876,0.003836629
52,0.003644797,0.006686361,0.003656826,0.00635241,0.003644797
53,0.003462557,0.006619497,0.003473985,0.006161838,0.003462557
54,0.00328943,0.006553302,0.003300286,0.005976983,0.00328943
55,0.003124958,0.006487769,0.003135272,0.005797673,0.003124958
56,0.00296871,0.006422891,0.002978508,0.005623743,0.00296871
57,0.002820275,0.006358663,0.002829583,0.005455031,0.002820275
58,0.002679261,0.006295076,0.002688103,0.00529138,0.002679261
59,0.002545298,0.006232125,0.002553698,0.005132638,0.002545298
60,0.002418033,0.006169804,0.002426013,0.004978659,0.002418033
61,0.002297131,0.006108106,0.002304713,0.0048293,0.002297131
62,0.002182275,0.006047025,0.002189477,0.004684421,0.002182275
63,0.002073161,0.005986555,0.002080003,0.004543888,0.002073161
64,0.001969503,0.005926689,0.001976003,0.004407571,0.001969503
65,0.001871028,0.005867422,0.001877203,0.004275344,0.001871028
66,0.001777476,0.005808748,0.001783343,0.004147084,0.001777476
67,0.001688603,0.00575066,0.001694176,0.004022671,0.001688603
68,0.001604173,0.005693154,0.001609467,0.003901991,0.001604173
69,0.001523964,0.005636222,0.001528994,0.003784931,0.001523964
70,0.001447766,0.00557986,0.001452544,0.003671383,0.001447766
71,0.001375377,0.005524061,0.001379917,0.003561242,0.001375377
72,0.001306609,0.005468821,0.001310921,0.003454405,0.001306609
73,0.001241278,0.005414133,0.001245375,0.003350773,0.001241278
74,0.001179214,0.005359991,0.001183106,0.003250249,0.001179214
75,0.001120253,0.005306391,0.001123951,0.003152742,0.001120253
76,0.001064241,0.005253328,0.001067753,0.00305816,0.001064241
77,0.001011029,0.005200794,0.001014366,0.002966415,0.001011029
78,0.000960477,0.005148786,0.000963647,0.002877422,0.000960477
79,0.000912453,0.005097298,0.000915465,0.0027911,0.000912453
80,0.000866831,0.005046325,0.000869692,0.002707367,0.000866831
81,0.000823489,0.004995862,0.000826207,0.002626146,0.000823489
82,0.000782315,0.004945904,0.000784897,0.002547361,0.000782315
83,0.000743199,0.004896445,0.000745652,0.002470941,0.000743199
84,0.000706039,0.00484748,0.000708369,0.002396812,0.000706039
85,0.000670737,0.004799005,0.000672951,0.002324908,0.000670737
86,0.0006372,0.004751015,0.000639303,0.002255161,0.0006372
87,0.00060534,0.004703505,0.000607338,0.002187506,0.00060534
88,0.000575073,0.00465647,0.000576971,0.002121881,0.000575073
89,0.00054632,0.004609905,0.000548123,0.002058224,0.00054632
90,0.000519004,0.004563806,0.000520717,0.001996478,0.000519004
91,0.000493053,0.004518168,0.000494681,0.001936583,0.000493053
92,0.000468401,0.004472987,0.000469947,0.001878486,0.000468401
93,0.000444981,0.004428257,0.000446449,0.001822131,0.000444981
94,0.000422732,0.004383974,0.000424127,0.001767467,0.000422732
95,0.000401595,0.004340134,0.000402921,0.001714443,0.000401595
96,0.000381515,0.004296733,0.000382774,0.00166301,0.000381515
97,0.00036244,0.004253766,0.000363636,0.00161312,0.00036244
98,0.000344318,0.004211228,0.000345454,0.001564726,0.000344318
99,0.000327102,0.004169116,0.000328181,0.001517784,0.000327102
100,0.000310747,0.004127425,0.000311772,0.001472251,0.000310747
101,0.000295209,0.00408615,0.000296184,0.001428083,0.000295209
102,0.000280449,0.004045289,0.000281374,0.001385241,0.000280449
103,0.000266426,0.004004836,0.000267306,0.001343683,0.000266426
104,0.000253105,0.003964788,0.00025394,0.001303373,0.000253105
105,0.00024045,0.00392514,0.000241243,0.001264272,0.00024045
106,0.000228427,0.003885888,0.000229181,0.001226344,0.000228427
107,0.000217006,0.003847029,0.000217722,0.001189553,0.000217006
108,0.000206156,0.003808559,0.000206836,0.001153867,0.000206156
109,0.000195848,0.003770474,0.000196494,0.001119251,0.000195848
110,0.000186055,0.003732769,0.00018667,0.001085673,0.000186055
111,0.000176753,0.003695441,0.000177336,0.001053103,0.000176753
112,0.000167915,0.003658487,0.000168469,0.00102151,0.000167915
113,0.000159519,0.003621902,0.000160046,0.000990865,0.000159519
114,0.000151543,0.003585683,0.000152044,0.000961139,0.000151543
115,0.000143966,0.003549826,0.000144441,0.000932305,0.000143966
116,0.000136768,0.003514328,0.000137219,0.000904335,0.000136768
117,0.000129929,0.003479184,0.000130358,0.000877205,0.000129929
118,0.000123433,0.003444393,0.00012384,0.000850889,0.000123433
119,0.000117261,0.003409949,0.000117648,0.000825362,0.000117261
120,0.000111398,0.003375849,0.000111766,0.000800602,0.000111398
121,0.000105828,0.003342091,0.000106178,0.000776584,0.000105828
122,0.000100537,0.00330867,0.000100869,0.000753286,0.000100537
123,9.55E-05,0.003275583,9.58E-05,0.000730687,9.55E-05
124,9.07E-05,0.003242827,9.10E-05,0.000708767,9.07E-05
125,8.62E-05,0.003210399,8.65E-05,0.000687504,8.62E-05
126,8.19E-05,0.003178295,8.22E-05,0.000666879,8.19E-05
127,7.78E-05,0.003146512,7.81E-05,0.000646872,7.78E-05
128,7.39E-05,0.003115047,7.41E-05,0.000627466,7.39E-05
129,7.02E-05,0.003083896,7.04E-05,0.000608642,7.02E-05
130,6.67E-05,0.003053058,6.69E-05,0.000590383,6.67E-05
131,6.34E-05,0.003022527,6.36E-05,0.000572671,6.34E-05
132,6.02E-05,0.002992302,6.04E-05,0.000555491,6.02E-05
133,5.72E-05,0.002962379,5.74E-05,0.000538827,5.72E-05
134,5.43E-05,0.002932755,5.45E-05,0.000522662,5.43E-05
135,5.16E-05,0.002903427,5.18E-05,0.000506982,5.16E-05
136,4.90E-05,0.002874393,4.92E-05,0.000491772,4.90E-05
